"声優","出演数","メイン","メイン率"
"榊原良子","69","12","0.17391304347826086"
"高橋未奈美","69","4","0.057971014492753624"
"東山奈央","69","32","0.463768115942029"
"松尾佳子","69","2","0.028985507246376812"
"茂呂田かおる","69","0","0.0"
"國府田マリ子","68","10","0.14705882352941177"
"小松未可子","68","33","0.4852941176470588"
"こやまきみこ","68","14","0.20588235294117646"
"佐久間紅美","68","5","0.07352941176470588"
"谷井あすか","68","9","0.1323529411764706"
"中友子","68","0","0.0"
"山口眞弓","68","8","0.11764705882352941"
"今井麻美","67","10","0.14925373134328357"
"松本さち","67","8","0.11940298507462686"
"岩男潤子","66","10","0.15151515151515152"
"藤井ゆきよ","66","5","0.07575757575757576"
"牧口真幸","66","5","0.07575757575757576"
"三宅麻理恵","66","6","0.09090909090909091"
"加藤有生子","65","0","0.0"
"根本圭子","65","2","0.03076923076923077"
"弥永和子","65","0","0.0"
"伊東みやこ","64","10","0.15625"
"鹿野優以","64","3","0.046875"
"小松由佳 (声優)","64","4","0.0625"
"佐々木優子","64","0","0.0"
"谷育子","64","0","0.0"
"中谷ゆみ","64","0","0.0"
"水野理紗","64","12","0.1875"
"白石冬美","63","6","0.09523809523809523"
"巽悠衣子","63","11","0.1746031746031746"
"寺崎裕香","63","10","0.15873015873015872"
"飯塚雅弓","62","15","0.24193548387096775"
"紗ゆり","62","0","0.0"
"仙台エリ","62","16","0.25806451612903225"
"高木早苗","62","0","0.0"
"種田梨沙","62","27","0.43548387096774194"
"並木のり子","62","0","0.0"
"水沢史絵","62","11","0.1774193548387097"
"山本百合子","62","8","0.12903225806451613"
"いのくちゆか","61","11","0.18032786885245902"
"川瀬晶子 (声優)","61","3","0.04918032786885246"
"成田紗矢香","61","5","0.08196721311475409"
"平田真菜","61","1","0.01639344262295082"
"足立友","60","0","0.0"
"豊嶋真千子","60","0","0.0"
"南條愛乃","60","19","0.31666666666666665"
"野川さくら","60","30","0.5"
"山田みほ","60","0","0.0"
"島津冴子","59","12","0.2033898305084746"
"中尾衣里","59","5","0.0847457627118644"
"中野聖子","59","2","0.03389830508474576"
"原えりこ","59","12","0.2033898305084746"
"M・A・O","59","33","0.559322033898305"
"あおきさやか","58","6","0.10344827586206896"
"上田麗奈","58","12","0.20689655172413793"
"金月真美","58","7","0.1206896551724138"
"中島沙樹","58","16","0.27586206896551724"
"まるたまり","58","0","0.0"
"鵜飼るみ子","57","0","0.0"
"沖佳苗","57","5","0.08771929824561403"
"川浪葉子","57","1","0.017543859649122806"
"佐々木日菜子","57","1","0.017543859649122806"
"芝原チヤコ","57","0","0.0"
"世戸さおり","57","2","0.03508771929824561"
"頓宮恭子","57","3","0.05263157894736842"
"中嶋ヒロ","57","0","0.0"
"中村知子","57","3","0.05263157894736842"
"野村道子","57","17","0.2982456140350877"
"松元惠","57","11","0.19298245614035087"
"三浦雅子","57","1","0.017543859649122806"
"米澤円","57","6","0.10526315789473684"
"井澤詩織","56","10","0.17857142857142858"
"加隈亜衣","56","13","0.23214285714285715"
"橘田いずみ","56","25","0.44642857142857145"
"小松里歌","56","4","0.07142857142857142"
"小松里賀","56","4","0.07142857142857142"
"櫻田実果子","56","15","0.26785714285714285"
"宍戸留美","56","15","0.26785714285714285"
"植竹香菜","55","0","0.0"
"大西沙織","55","11","0.2"
"岡本嘉子","55","0","0.0"
"津田美波","55","18","0.32727272727272727"
"中村千絵","55","4","0.07272727272727272"
"那須めぐみ","55","6","0.10909090909090909"
"沼倉愛美","55","20","0.36363636363636365"
"松井摩味","55","2","0.03636363636363636"
"摩味","55","2","0.03636363636363636"
"青木和代","54","0","0.0"
"池田昌子","54","2","0.037037037037037035"
"笠原留美","54","2","0.037037037037037035"
"瀬戸麻沙美","54","21","0.3888888888888889"
"西明日香","54","9","0.16666666666666666"
"西墻由香","54","1","0.018518518518518517"
"原紗友里","54","6","0.1111111111111111"
"三上枝織","54","13","0.24074074074074073"
"安達忍","53","6","0.11320754716981132"
"石上静香","53","10","0.18867924528301888"
"石塚さより","53","1","0.018867924528301886"
"木村はるか","53","0","0.0"
"小林けい","53","1","0.018867924528301886"
"小林希唯","53","1","0.018867924528301886"
"ささきのぞみ","53","14","0.2641509433962264"
"佐藤奏美","53","2","0.03773584905660377"
"沢田敏子","53","0","0.0"
"高梁碧","53","7","0.1320754716981132"
"竹口安芸子","53","0","0.0"
"ならはしみき","53","1","0.018867924528301886"
"升望","53","3","0.05660377358490566"
"村川梨衣","53","12","0.22641509433962265"
"鳳芳野","52","0","0.0"
"佐々木るん","52","0","0.0"
"兵藤まこ","52","0","0.0"
"水原薫","52","7","0.1346153846153846"
"桂玲子","51","0","0.0"
"木内レイコ","51","6","0.11764705882352941"
"熊谷ニーナ","51","0","0.0"
"三宅華也","51","2","0.0392156862745098"
"池田千草","50","0","0.0"
"井上瑤","50","0","0.0"
"小倉唯","50","21","0.42"
"丹下桜","50","12","0.24"
"前田愛 (声優)","50","15","0.3"
"相沢舞","49","12","0.24489795918367346"
"岩坪理江","49","5","0.10204081632653061"
"加藤奈々絵","49","12","0.24489795918367346"
"中川亜紀子","49","6","0.12244897959183673"
"本多陽子","49","5","0.10204081632653061"
"三輪勝恵","49","12","0.24489795918367346"
"吉田小百合","49","3","0.061224489795918366"
"太田淑子","48","9","0.1875"
"尾小平志津香","48","0","0.0"
"笹島かほる","48","8","0.16666666666666666"
"白川澄子","48","5","0.10416666666666667"
"菅谷政子","48","0","0.0"
"滝沢ロコ","48","2","0.041666666666666664"
"永田依子","48","0","0.0"
"中山さら","48","5","0.10416666666666667"
"中山真奈美","48","5","0.10416666666666667"
"松本美和","48","4","0.08333333333333333"
"森夏姫","48","0","0.0"
"北浜晴子","47","0","0.0"
"長浜満里子","47","0","0.0"
"安野希世乃","47","13","0.2765957446808511"
"飯田友子","46","1","0.021739130434782608"
"梅田貴公美","46","0","0.0"
"樹元オリエ","46","2","0.043478260869565216"
"小平有希","46","4","0.08695652173913043"
"齋藤彩夏","46","16","0.34782608695652173"
"白倉麻子","46","0","0.0"
"大地葉","46","4","0.08695652173913043"
"日野由利加","46","0","0.0"
"湯屋敦子","46","0","0.0"
"石川静 (声優)","45","13","0.28888888888888886"
"石毛佐和","45","8","0.17777777777777778"
"牛田裕子","45","0","0.0"
"幸田夏穂","45","0","0.0"
"日野未歩","45","2","0.044444444444444446"
"堀江美都子","45","15","0.3333333333333333"
"牧野由依","45","18","0.4"
"森永理科","45","17","0.37777777777777777"
"麻見順子","44","0","0.0"
"有馬瑞香","44","0","0.0"
"達依久子","44","0","0.0"
"間嶋里美","44","5","0.11363636363636363"
"深雪さなえ","44","0","0.0"
"向殿あさみ","44","0","0.0"
"室井深雪","44","0","0.0"
"山田ふしぎ","44","4","0.09090909090909091"
"ゆりん","44","4","0.09090909090909091"
"安済知佳","43","10","0.23255813953488372"
"五十嵐麗","43","0","0.0"
"大塚みずえ","43","0","0.0"
"岡本茉利","43","15","0.3488372093023256"
"久野美咲","43","17","0.3953488372093023"
"関山美沙紀","43","0","0.0"
"田野めぐみ","43","4","0.09302325581395349"
"原田ひとみ","43","12","0.27906976744186046"
"武藤礼子","43","0","0.0"
"石原夏織","42","16","0.38095238095238093"
"笠原弘子","42","8","0.19047619047619047"
"川崎恵理子","42","0","0.0"
"木下紗華","42","0","0.0"
"栗葉子","42","6","0.14285714285714285"
"重松朋","42","0","0.0"
"嶋方淳子","42","0","0.0"
"種崎敦美","42","7","0.16666666666666666"
"TARAKO","42","7","0.16666666666666666"
"中根久美子","42","0","0.0"
"野水伊織","42","26","0.6190476190476191"
"向井真理子","42","0","0.0"
"山本希望","42","13","0.30952380952380953"
"あきやまひかり","41","0","0.0"
"あきやまるな","41","0","0.0"
"伊藤実華","41","1","0.024390243902439025"
"内田彩","41","15","0.36585365853658536"
"岡本ナミ","41","0","0.0"
"小澤亜李","41","17","0.4146341463414634"
"戸田恵子","41","8","0.1951219512195122"
"中西妙子","41","0","0.0"
"西宏子","41","0","0.0"
"平野文","41","2","0.04878048780487805"
"山村響","41","7","0.17073170731707318"
"よのひかり","41","0","0.0"
"若林直美","41","6","0.14634146341463414"
"石橋美佳","40","0","0.0"
"斎藤桃子","40","9","0.225"
"永野愛","40","4","0.1"
"萩森じゅん子","40","0","0.0"
"山口立花子","40","6","0.15"
