"声優","出演数","メイン","メイン率"
"石桃子","6","0","0.0"
"石井七央子","12","0","0.0"
"石川悦子","3","0","0.0"
"石川静 (声優)","6","0","0.0"
"石津彩","5","0","0.0"
"石塚理恵","5","0","0.0"
"石橋美佳","10","0","0.0"
"磯辺万沙子","8","0","0.0"
"一木美名子","4","0","0.0"
"一城みゆ希","27","0","0.0"
"市原由美","12","0","0.0"
"壱智村小真","4","0","0.0"
"一龍斎貞弥","5","0","0.0"
"伊藤亜矢子","2","0","0.0"
"伊藤舞子","11","0","0.0"
"伊藤実華","2","0","0.0"
"乾政子","1","0","0.0"
"井上美紀","13","0","0.0"
"井上瑤","11","0","0.0"
"いのくちゆか","1","0","0.0"
"今井麻美","1","0","0.0"
"今橋かつよ","2","0","0.0"
"色川京子","9","0","0.0"
"上田みゆき (声優)","1","0","0.0"
"鵜飼るみ子","14","0","0.0"
"梅田貴公美","7","0","0.0"
"雨蘭咲木子","5","0","0.0"
"宇和川恵美","21","0","0.0"
"江川泰子","1","0","0.0"
"江口美里","1","0","0.0"
"江沢昌子","2","0","0.0"
"榎本智恵子","6","0","0.0"
"榎本充希子","10","0","0.0"
"恵比寿まさ子","1","0","0.0"
"遠藤勝代","9","0","0.0"
"遠藤晴","4","0","0.0"
"遠藤みやこ","14","0","0.0"
"及川ひとみ","2","0","0.0"
"大坂史子","9","0","0.0"
"大沢千秋","3","0","0.0"
"大田詩織","2","0","0.0"
"太田淑子","4","0","0.0"
"大竹美佳","1","0","0.0"
"大塚智子","6","0","0.0"
"大塚みずえ","31","0","0.0"
"大津田裕美","3","0","0.0"
"鳳芳野","3","0","0.0"
"大野エリ","2","0","0.0"
"大野佐和","4","0","0.0"
"大野まりな","5","0","0.0"
"大野由佳","6","0","0.0"
"大原さやか","17","0","0.0"
"大前茜","2","0","0.0"
"岡のりこ","2","0","0.0"
"小粥よう子","10","0","0.0"
"小笠原亜里沙","3","0","0.0"
"岡田加奈子","2","0","0.0"
"岡本ナミ","10","0","0.0"
"岡本嘉子","23","0","0.0"
"奥島和美","15","0","0.0"
"尾小平志津香","19","0","0.0"
"小田真由美","1","0","0.0"
"尾田木美衣","14","0","0.0"
"落合るみ","6","0","0.0"
"小野綾子 (声優)","9","0","0.0"
"小野未喜","4","0","0.0"
"小野美幸","4","0","0.0"
"小野寺麻理子","5","0","0.0"
"小山田詩乃","1","0","0.0"
"貝塚珠美","3","0","0.0"
"利田優子","2","0","0.0"
"佳川紘子","1","0","0.0"
"香川葉月","1","0","0.0"
"柿沼紫乃","10","0","0.0"
"笠井律子","6","0","0.0"
"梶村ひろこ","5","0","0.0"
"梶川さほり","4","0","0.0"
"片石千春","9","0","0.0"
"片岡富枝","25","0","0.0"
"香月弥生","3","0","0.0"
"勝田治美","1","0","0.0"
"桂玲子","1","0","0.0"
"葛城七穂","7","0","0.0"
"加藤沙織","3","0","0.0"
"加藤奈々絵","3","0","0.0"
"加藤有生子","19","0","0.0"
"兼子由利子","8","0","0.0"
"叶木翔子","10","0","0.0"
"神山まさみ","11","0","0.0"
