"声優","出演数","メイン","メイン率"
"又吉愛","9","0","0.0"
"松井菜桜子","9","2","0.2222222222222222"
"本井えみ","9","0","0.0"
"森なな子","9","0","0.0"
"茂呂田かおる","9","0","0.0"
"山本亜衣 (声優)","9","0","0.0"
"優木かな","9","2","0.2222222222222222"
"吉田仁美","9","2","0.2222222222222222"
"和氣あず未","9","2","0.2222222222222222"
"荒浪和沙","8","1","0.125"
"井澤美香子","8","2","0.25"
"石井ゆかり (声優)","8","0","0.0"
"磯村知美","8","1","0.125"
"一城みゆ希","8","0","0.0"
"今井由香","8","1","0.125"
"大室佳奈","8","0","0.0"
"小笠原早紀","8","1","0.125"
"尾崎真実","8","2","0.25"
"金子有希","8","1","0.125"
"河原木志穂","8","1","0.125"
"小平有希","8","2","0.25"
"斎藤桃子","8","0","0.0"
"佐藤智恵","8","1","0.125"
"澁谷梓希","8","1","0.125"
"清水香里","8","3","0.375"
"清水茉菜","8","0","0.0"
"鈴木晶子","8","0","0.0"
"世戸さおり","8","0","0.0"
"高乃麗","8","0","0.0"
"竹内絢子","8","0","0.0"
"竹下礼奈","8","1","0.125"
"玉川砂記子","8","0","0.0"
"津村まこと","8","0","0.0"
"都丸ちよ","8","0","0.0"
"中友子","8","0","0.0"
"中尾衣里","8","1","0.125"
"永島由子","8","2","0.25"
"永田依子","8","0","0.0"
"西村ちなみ","8","2","0.25"
"能登有沙","8","2","0.25"
"橋本まい","8","0","0.0"
"ひと美","8","1","0.125"
"平山笑美","8","2","0.25"
"本泉莉奈","8","0","0.0"
"前田愛 (声優)","8","1","0.125"
"松本夕紀","8","0","0.0"
"松本梨香","8","4","0.5"
"的場加恵","8","0","0.0"
"三上遥香","8","0","0.0"
"水野理紗","8","2","0.25"
"山口理恵","8","1","0.125"
"山田奈都美","8","4","0.5"
"ゆきじ","8","0","0.0"
"行成とあ","8","0","0.0"
"横尾まり","8","0","0.0"
"吉田有里 (声優)","8","4","0.5"
"若井友希","8","2","0.25"
"飯塚雅弓","7","1","0.14285714285714285"
"井上遥乃","7","1","0.14285714285714285"
"今井麻夏","7","0","0.0"
"初原千絵","7","0","0.0"
"上田晴美","7","0","0.0"
"上村典子","7","0","0.0"
"内田愛美","7","1","0.14285714285714285"
"梅田貴公美","7","0","0.0"
"大井麻利衣","7","0","0.0"
"大関英里","7","1","0.14285714285714285"
"小野早稀","7","3","0.42857142857142855"
"小野涼子","7","2","0.2857142857142857"
"小幡記子","7","0","0.0"
"陰山真寿美","7","0","0.0"
"川庄美雪","7","1","0.14285714285714285"
"樹元オリエ","7","0","0.0"
"小林さやか","7","0","0.0"
"坂本千夏","7","1","0.14285714285714285"
"佐倉薫","7","1","0.14285714285714285"
"櫻井智","7","0","0.0"
"沢田敏子","7","0","0.0"
"芝崎典子","7","0","0.0"
"清水理沙","7","1","0.14285714285714285"
"白石真梨","7","0","0.0"
"高木礼子","7","2","0.2857142857142857"
"高田千裕","7","0","0.0"
"千葉千恵巳","7","2","0.2857142857142857"
"積田かよ子","7","0","0.0"
"中司ゆう花","7","0","0.0"
"鍋井まき子","7","0","0.0"
"ニーコ","7","1","0.14285714285714285"
"土師亜文","7","0","0.0"
"日岡なつみ","7","1","0.14285714285714285"
"深見梨加","7","0","0.0"
"ふしだ里穂","7","0","0.0"
"堀井千砂","7","0","0.0"
"堀池円","7","2","0.2857142857142857"
"三木美","7","0","0.0"
"瑞沢渓","7","2","0.2857142857142857"
"横山智佐","7","1","0.14285714285714285"
"吉岡麻耶","7","1","0.14285714285714285"
"青山桐子","6","1","0.16666666666666666"
"阿川りょう","6","0","0.0"
"あきやまかおる","6","0","0.0"
"上野アサ","6","0","0.0"
"足立友","6","0","0.0"
"五十嵐浩子","6","1","0.16666666666666666"
"壹岐紹未","6","0","0.0"
"生田善子","6","1","0.16666666666666666"
"伊倉一恵","6","0","0.0"
"伊沢磨紀","6","0","0.0"
"石川綾乃","6","0","0.0"
"浦和めぐみ","6","0","0.0"
"岡田幸子","6","0","0.0"
"河合紗希子","6","0","0.0"
"菊地美香","6","0","0.0"
"小菅真美","6","0","0.0"
"児玉明日美","6","0","0.0"
"小寺麻未","6","0","0.0"
"小林未沙","6","0","0.0"
"小日向茜","6","0","0.0"
"笹島かほる","6","0","0.0"
"椎名へきる","6","0","0.0"
"志村由美","6","0","0.0"
"鈴木愛奈","6","4","0.6666666666666666"
"鈴木美咲","6","2","0.3333333333333333"
"関根明良","6","0","0.0"
"芹亜希子","6","0","0.0"
"高倉有加","6","0","0.0"
"高田憂希","6","1","0.16666666666666666"
"高橋めぐる","6","2","0.3333333333333333"
"高橋里枝","6","0","0.0"
"鷹森淑乃","6","0","0.0"
"多田このみ","6","0","0.0"
"田中涼子 (声優)","6","5","0.8333333333333334"
"谷口夢奈","6","0","0.0"
"月宮みどり","6","1","0.16666666666666666"
"天神林ともみ","6","0","0.0"
"百々麻子","6","0","0.0"
"豊嶋真千子","6","0","0.0"
"那須めぐみ","6","0","0.0"
"西墻由香","6","0","0.0"
"西野陽子","6","0","0.0"
"長谷川明子","6","1","0.16666666666666666"
"波田野由衣","6","0","0.0"
"半場友恵","6","0","0.0"
"平田絵里子","6","0","0.0"
"古谷静佳","6","0","0.0"
"別井友美","6","0","0.0"
"堀口あすか","6","0","0.0"
"真坂美帆","6","0","0.0"
"松永真穂","6","1","0.16666666666666666"
"水谷優子","6","1","0.16666666666666666"
"水杜明寿香","6","0","0.0"
"桃井はるこ","6","2","0.3333333333333333"
"森千早都","6","2","0.3333333333333333"
"森史絵","6","0","0.0"
"森沢芙美","6","0","0.0"
"森永理科","6","2","0.3333333333333333"
"矢口アサミ","6","2","0.3333333333333333"
"安國愛菜","6","1","0.16666666666666666"
"山口協佳","6","0","0.0"
"山下百合恵","6","1","0.16666666666666666"
"山中まどか","6","0","0.0"
"山本彩乃","6","1","0.16666666666666666"
"吉岡茉祐","6","3","0.5"
"劉セイラ","6","1","0.16666666666666666"
"青木紀子","5","0","0.0"
"朝日奈丸佳","5","0","0.0"
"亜城めぐ","5","0","0.0"
"石松千恵美","5","0","0.0"
"磯辺万沙子","5","0","0.0"
"伊藤彩沙","5","2","0.4"
"今瀬未知","5","0","0.0"
"岩崎愛 (声優)","5","0","0.0"
"岩村愛子","5","0","0.0"
"うえだ星子","5","0","0.0"
"植竹香菜","5","0","0.0"
"雨蘭咲木子","5","0","0.0"
"鳳芳野","5","0","0.0"
"柿沼紫乃","5","0","0.0"
"柏山奈々美","5","1","0.2"
"勝田詩織","5","1","0.2"
"華山梨彩","5","0","0.0"
"川上千尋","5","1","0.2"
"川田妙子","5","0","0.0"
"北原知奈","5","0","0.0"
"喜代原まり","5","0","0.0"
"楠見藍子","5","0","0.0"
"光明寺敬子","5","0","0.0"
"小山さくら","5","0","0.0"
"近藤佳奈子","5","0","0.0"
"斎藤恵理","5","0","0.0"
"さかいかな","5","1","0.2"
"桜川めぐ","5","1","0.2"
"櫻田実果子","5","0","0.0"
"佐藤有世","5","0","0.0"
"佐藤なる美","5","0","0.0"
"佐藤ゆうこ (声優)","5","0","0.0"
"JENYA","5","0","0.0"
"塩谷綾子","5","0","0.0"
"宍戸留美","5","0","0.0"
"〆野潤子","5","0","0.0"
"すずき紀子","5","0","0.0"
"高尾奏音","5","2","0.4"
"高橋花林","5","0","0.0"
"高橋理恵子","5","0","0.0"
"田口宏子","5","4","0.8"
"武田華","5","0","0.0"
"寺内よりえ","5","0","0.0"
"土井真理","5","0","0.0"
"友永朱音","5","1","0.2"
"鳥部万里子","5","0","0.0"
"中川亜紀子","5","2","0.4"
"中川玲","5","0","0.0"
"長田美雪","5","0","0.0"
"仲村かおり","5","0","0.0"
"西宏子","5","0","0.0"
"野村真悠華","5","2","0.4"
"橋本結","5","0","0.0"
"長谷川歩美","5","0","0.0"
"羽月理恵","5","0","0.0"
"羽鳥靖子","5","0","0.0"
"平尾明香","5","0","0.0"
"福井裕佳梨","5","1","0.2"
"藤井美波","5","0","0.0"
"古川由利奈","5","1","0.2"
"星野早","5","0","0.0"
"堀絢子","5","1","0.2"
